x,y,,2126,0.42579658
114,0.36320842,,2240,0.42889498
115,0.36387933,,2241,0.43121068
116,0.36472178,,2242,0.43290868
117,0.36569431,,2243,0.43390315
118,0.36680634,,2244,0.43402228
119,0.36805349,,2245,0.43353218
120,0.36942798,,2246,0.43220241
121,0.37093109,,2247,0.43034262
122,0.37255857,,2248,0.42779242
123,0.3743094,,2249,0.42506637
124,0.37617295,,2250,0.42205511
125,0.37814039,,2251,0.41920919
126,0.38023284,,2252,0.41667851
127,0.38241986,,2253,0.41439594
128,0.38469969,,2254,0.41270874
129,0.3870664,,2255,0.41154806
130,0.38951604,,2256,0.41124412
131,0.39205078,,2257,0.41170776
132,0.39464475,,2258,0.4129688
133,0.39732255,,2259,0.4148959
134,0.40007499,,2260,0.41739477
135,0.40285287,,2261,0.42017412
136,0.40569068,,2262,0.42314518
137,0.40856503,,2263,0.42612184
138,0.41146817,,2264,0.42876027
139,0.41440289,,2265,0.43103464
140,0.41736972,,2266,0.43260821
141,0.42030978,,2267,0.43349193
142,0.42329311,,2268,0.43365344
143,0.42623914,,2269,0.43308101
144,0.42917538,,2270,0.43187854
145,0.43210619,,2271,0.42995024
146,0.43499165,,2272,0.42742925
147,0.43783305,,2273,0.42474713
148,0.44064165,,2274,0.42171086
149,0.44338267,,2275,0.41879731
150,0.44607685,,2276,0.41615897
151,0.44868688,,2277,0.41398051
152,0.45120832,,2278,0.4123075
153,0.45365071,,2279,0.41135484
154,0.45602328,,2280,0.41115691
155,0.45828356,,2281,0.41188967
156,0.46046693,,2282,0.41325297
157,0.46253045,,2283,0.41523237
158,0.46448141,,2284,0.41769178
159,0.46630389,,2285,0.42063192
160,0.4680092,,2286,0.42357173
161,0.46957477,,2287,0.42642591
162,0.47100212,,2288,0.42894248
163,0.47230123,,2289,0.43093844
164,0.47344394,,2290,0.43252347
165,0.47445016,,2291,0.43331755
166,0.47530487,,2292,0.43346074
167,0.4759875,,2293,0.43265557
168,0.47655273,,2294,0.43128855
169,0.47692955,,2295,0.42916657
170,0.47714249,,2296,0.4267136
171,0.47719633,,2297,0.42391604
172,0.47715134,,2298,0.42102028
173,0.47687584,,2299,0.41812189
174,0.47644602,,2300,0.41552809
175,0.47585646,,2301,0.4134457
176,0.47514249,,2302,0.41200058
177,0.47426537,,2303,0.41105759
178,0.47322605,,2304,0.41107028
179,0.47202436,,2305,0.41201609
180,0.47068565,,2306,0.41375338
181,0.46919014,,2307,0.41590902
182,0.46754181,,2308,0.41858402
183,0.46577695,,2309,0.42139946
184,0.46387718,,2310,0.42436182
185,0.46186116,,2311,0.42731273
186,0.45971388,,2312,0.42974229
187,0.45745697,,2313,0.43154225
188,0.45509504,,2314,0.43278404
189,0.45263684,,2315,0.43318787
190,0.450087,,2316,0.43275962
191,0.44746796,,2317,0.43164457
192,0.44475544,,2318,0.4298077
193,0.44199041,,2319,0.42760138
194,0.43916663,,2320,0.42479271
195,0.43630054,,2321,0.42203016
196,0.43339848,,2322,0.41894033
197,0.43045656,,2323,0.41621373
198,0.42749254,,2324,0.41410488
199,0.4245403,,2325,0.41232579
200,0.42157509,,2326,0.41123759
201,0.4186267,,2327,0.41085085
202,0.41568462,,2328,0.41149931
203,0.41277771,,2329,0.41288602
204,0.40991894,,2330,0.41503103
205,0.40710372,,2331,0.41760244
