train_x,train_y
3590,0.83961716
3591,0.84089231
3592,0.84235632
3593,0.84400986
3594,0.84584414
3595,0.84786732
3596,0.85005114
3597,0.8524094
3598,0.85491414
3599,0.8575558
3600,0.86033771
3601,0.86324403
3602,0.86627092
3603,0.86939919
3604,0.87263224
3605,0.8759543
3606,0.8793459
3607,0.8827922
3608,0.88628169
3609,0.88980937
3610,0.89335691
3611,0.89690741
3612,0.90045984
3613,0.90398541
3614,0.9074851
3615,0.91093007
3616,0.91431415
3617,0.91763141
3618,0.92086411
3619,0.92399442
3620,0.92701829
3621,0.9299136
3622,0.93268456
3623,0.93531376
3624,0.93778358
3625,0.94008543
3626,0.94221943
3627,0.94417093
3628,0.94593032
3629,0.94749543
3630,0.94885297
3631,0.950003
3632,0.95093602
3633,0.95165497
3634,0.95215182
3635,0.95242798
3636,0.95248115
3637,0.95231069
3638,0.95191581
3639,0.95129172
3640,0.95045458
3641,0.94939755
3642,0.94812644
3643,0.9466472
3644,0.9449656
3645,0.94309068
3646,0.94102459
3647,0.93878401
3648,0.93637284
3649,0.93380144
3650,0.93106718
3651,0.92820239
3652,0.92521859
3653,0.92211191
3654,0.91890533
3655,0.91561774
3656,0.91225206
3657,0.90883089
3658,0.90536668
3659,0.90187328
3660,0.89836458
3661,0.89486156
3662,0.89137777
3663,0.88792965
3664,0.88453217
3665,0.88118785
3666,0.87793469
3667,0.87477723
3668,0.8717216
3669,0.86878236
3670,0.86598564
3671,0.86332833
3672,0.86083953
3673,0.85852022
3674,0.85638149
3675,0.85444578
3676,0.85271252
3677,0.85119588
3678,0.84989405
3679,0.8488052
3680,0.84795683
3681,0.84734703
3682,0.84696773
3683,0.84683366
3684,0.84693852
3685,0.8472861
3686,0.84786713
3687,0.84869242
3688,0.84975415
3689,0.85104149
3690,0.85255993
3691,0.85427951
3692,0.85621952
3693,0.85835337
3694,0.86067211
3695,0.86317722
3696,0.86584995
3697,0.86867564
3698,0.87164112
3699,0.87474679
3700,0.87795277
3701,0.88125486
3702,0.88464195
3703,0.88809398
3704,0.89159106
3705,0.89511595
3706,0.89865404
3707,0.90219106
3708,0.90569795
3709,0.9091698
3710,0.91258797
3711,0.91593131
3712,0.91917209
3713,0.92231548
3714,0.92533777
3715,0.92821073
3716,0.93092899
3717,0.93348287
3718,0.93585349
3719,0.93802829
3720,0.93999958
3721,0.94175794
3722,0.94328616
3723,0.94458322
3724,0.94563572
3725,0.94644147
3726,0.94699977
3727,0.94730505
3728,0.94735358
3729,0.94714735
3730,0.94667917
3731,0.94596177
3732,0.94498808
3733,0.94377851
3734,0.94232729
3735,0.9406432
3736,0.93873617
3737,0.93661973
3738,0.9342998
3739,0.93179348
3740,0.92911043
3741,0.92626452
3742,0.92327754
3743,0.92016133
3744,0.9169356
3745,0.91361163
3746,0.91020722
3747,0.90674766
3748,0.90325449
3749,0.89974362
3750,0.89623764
3751,0.89275119
3752,0.88930891
3753,0.88593141
3754,0.88263151
3755,0.87942864
3756,0.87634796
3757,0.87340094
3758,0.87060481
3759,0.86798423
3760,0.86554582
3761,0.86330804
3762,0.86127696
3763,0.85947233
3764,0.85790616
3765,0.85658221
3766,0.85551486
3767,0.85470392
3768,0.85415887
3769,0.85388046
3770,0.85387744
3771,0.85414521
3772,0.85467986
3773,0.85547842
3774,0.85654175
3775,0.85786574
3776,0.85943524
3777,0.86124401
3778,0.86328317
3779,0.8655424
3780,0.86800197
3781,0.87065781
3782,0.873487
3783,0.87647025
3784,0.87959262
3785,0.88283561
3786,0.88617834
3787,0.88960009
3788,0.89307608
3789,0.89660178
3790,0.90013815
3791,0.90366648
3792,0.90716748
3793,0.91061608
3794,0.91399993
3795,0.91728686
3796,0.92046208
3797,0.92350153
3798,0.92638921
3799,0.9291008
3800,0.93162756
3801,0.93394835
3802,0.93604633
3803,0.93790711
3804,0.93952203
3805,0.94088403
3806,0.94197818
3807,0.94279877
3808,0.94333933
3809,0.94359769
3810,0.94357107
3811,0.94325898
3812,0.94266464
3813,0.94178714
3814,0.94063851
3815,0.93922172
3816,0.93754577
3817,0.93562647
3818,0.93347197
3819,0.93109536
3820,0.92851354
3821,0.92574962
3822,0.92281253
3823,0.91973224
3824,0.91652426
3825,0.91320739
3826,0.90980569
3827,0.90634684
3828,0.90284574
3829,0.89933536
3830,0.89583474
3831,0.89236522
3832,0.88895529
3833,0.88563001
3834,0.88241051
3835,0.87932256
3836,0.87637863
3837,0.87360724
3838,0.87102397
3839,0.86864869
3840,0.86649894
3841,0.86458626
3842,0.86293421
3843,0.86154426
3844,0.86043466
3845,0.85960857
3846,0.85907886
3847,0.85883816
3848,0.85889871
3849,0.8592541
3850,0.85990579
3851,0.86084932
3852,0.86207691
3853,0.86358235
3854,0.86535637
3855,0.86738514
3856,0.86965052
3857,0.87214072
3858,0.87483803
3859,0.87772064
3860,0.88076469
3861,0.88395502
