origin_x,origin_y
5626,0.88981981
5627,0.89046131
5628,0.89194348
5629,0.89416726
5630,0.89712086
5631,0.90042349
5632,0.90393512
5633,0.90735906
5634,0.91051084
5635,0.91324951
5636,0.91523328
5637,0.91645863
5638,0.91672466
5639,0.91608644
5640,0.91455644
5641,0.912187
5642,0.90921979
5643,0.90589884
5644,0.90240917
5645,0.89894864
5646,0.89583898
5647,0.8931588
5648,0.89115419
5649,0.88998589
5650,0.88976121
5651,0.89049223
5652,0.89205576
5653,0.89443843
5654,0.89736484
5655,0.90067865
5656,0.90426282
5657,0.90775639
5658,0.9108935
5659,0.9134444
5660,0.91524396
5661,0.9162118
5662,0.91630063
5663,0.91538038
5664,0.91365639
5665,0.9111689
5666,0.9080857
5667,0.90468395
5668,0.90119242
5669,0.89772819
5670,0.89471174
5671,0.8922686
5672,0.89052449
5673,0.8896767
5674,0.88970682
5675,0.89066199
5676,0.89253883
5677,0.89517725
5678,0.89839799
5679,0.90181896
5680,0.90532843
5681,0.90864493
5682,0.91159951
5683,0.91384108
5684,0.91538907
5685,0.91599917
5686,0.91562644
5687,0.91432826
5688,0.91224506
5689,0.90952287
5690,0.90627378
5691,0.90275427
5692,0.8992732
5693,0.89600587
5694,0.89327196
5695,0.89127443
5696,0.88998544
5697,0.88968238
5698,0.89022312
5699,0.89182471
5700,0.89415436
5701,0.89709734
5702,0.90039131
5703,0.9039265
5704,0.90737611
5705,0.91044615
5706,0.91299186
5707,0.91485912
5708,0.91578271
5709,0.91576395
5710,0.91481223
5711,0.91301489
5712,0.91046891
5713,0.90740942
5714,0.9039581
5715,0.90044189
5716,0.89714162
5717,0.89424788
5718,0.89191696
5719,0.89036071
5720,0.88971817
5721,0.8900311
5722,0.89127795
5723,0.89340631
5724,0.89623469
5725,0.89952973
5726,0.90307518
5727,0.90658731
5728,0.90983286
5729,0.91249422
5730,0.91445219
5731,0.91561724
5732,0.91576021
5733,0.91499115
5734,0.91330013
5735,0.91080535
5736,0.90776337
5737,0.90433951
5738,0.90083528
5739,0.89750965
5740,0.89451309
5741,0.89216039
5742,0.89062537
5743,0.89000259
5744,0.89024358
5745,0.89149528
5746,0.89357651
5747,0.89649321
5748,0.89979174
5749,0.90339334
5750,0.90689963
5751,0.91008559
5752,0.9126753
5753,0.91465213
5754,0.91571677
5755,0.91585703
5756,0.91495987
5757,0.91321911
5758,0.91066807
5759,0.90759231
5760,0.90418033
5761,0.90069598
5762,0.89730538
5763,0.8944304
5764,0.8921868
5765,0.89073374
5766,0.89025107
5767,0.89077902
5768,0.89211494
5769,0.89435402
5770,0.89726351
5771,0.90057849
5772,0.90422266
5773,0.90779562
5774,0.91083223
5775,0.91345618
5776,0.91526353
5777,0.91617919
5778,0.91611148
5779,0.91511567
5780,0.91321112
5781,0.91052284
5782,0.90735455
5783,0.90380531
5784,0.90025973
5785,0.89707418
5786,0.89436126
5787,0.89230813
5788,0.89110625
5789,0.8908042
5790,0.89154404
5791,0.89329195
5792,0.89578202
5793,0.89872207
5794,0.90214731
5795,0.90567965
5796,0.90902401
5797,0.91191998
5798,0.91418122
5799,0.91559235
5800,0.91608275
5801,0.91557303
5802,0.91414761
5803,0.91179904
5804,0.90884161
5805,0.90544663
5806,0.90189412
5807,0.89841923
5808,0.89539916
5809,0.89286459
5810,0.89121326
5811,0.89045054
5812,0.89073255
5813,0.89192465
5814,0.89392437
5815,0.89673313
5816,0.90000002
5817,0.90354675
5818,0.90705782
5819,0.91026819
5820,0.91286041
5821,0.91463127
5822,0.91556477
5823,0.91545343
5824,0.91434565
5825,0.91235919
5826,0.90965096
5827,0.90639919
5828,0.90286528
5829,0.89937079
5830,0.89615125
5831,0.89349388
5832,0.89155437
5833,0.8905194
5834,0.89045946
5835,0.89145361
5836,0.89317092
5837,0.89566399
5838,0.8987792
5839,0.90221172
5840,0.9057769
5841,0.90907228
5842,0.91185735
5843,0.91389334
5844,0.91505799
5845,0.91526562
5846,0.91445272
5847,0.91271194
5848,0.91018801
5849,0.90714211
5850,0.90368525
5851,0.9001962
5852,0.89693893
5853,0.8940032
5854,0.89190407
5855,0.89066878
5856,0.89041231
5857,0.89122067
5858,0.89291813
5859,0.89545034
5860,0.89846986
5861,0.90195041
5862,0.90539776
5863,0.90869378
5864,0.91144708
5865,0.91357824
5866,0.91480828
5867,0.91497791
5868,0.91422839
5869,0.91250859
5870,0.91000225
5871,0.90689596
5872,0.90339734
5873,0.89985068
5874,0.89654607
5875,0.8937515
5876,0.89172846
5877,0.89045252
5878,0.89018983
5879,0.89097243
5880,0.89267302
5881,0.8952045
5882,0.89833235
5883,0.90174887
5884,0.90529273
5885,0.90857927
5886,0.91138116
5887,0.91341814
5888,0.91456054
5889,0.91472687
5890,0.91388375
5891,0.91213241
5892,0.90950784
5893,0.90635931
5894,0.9028378
5895,0.89936098
5896,0.89609765
5897,0.89335286
5898,0.8914841
5899,0.89048786
5900,0.89054061
5901,0.89154109
5902,0.89335753
5903,0.89602641
5904,0.89920915
5905,0.90263711
5906,0.90603414
5907,0.90925883
5908,0.91185467
5909,0.91370019
5910,0.91459796
5911,0.91451674
5912,0.91339741
5913,0.91128049
5914,0.9084405
